gene_id	pfam_domain_count	top_pfam_name	top_pfam_accession	top_pfam_ievalue	top_pfam_description	pfam_domains	pfam_accessions	pfam_descriptions	pfam_proteins
MSTRG.1961	2	Cation_efflux	PF01545.27	4.9e-47	Cation efflux transmembrane domain	Cation_efflux;ZT_dimer	PF01545.27;PF16916.12	Cation efflux transmembrane domain;Cation efflux protein, cytoplasmic domain	MSTRG.1961.1.p1
MSTRG.19614	2	TFIIA	PF03153.19	1.7e-42	Transcription factor IIA, alpha/beta subunit	TFIIA	PF03153.19	Transcription factor IIA, alpha/beta subunit	MSTRG.19614.1.p1;MSTRG.19614.2.p1
MSTRG.19615	3	TFIIA	PF03153.19	2.1e-12	Transcription factor IIA, alpha/beta subunit	TFIIA	PF03153.19	Transcription factor IIA, alpha/beta subunit	MSTRG.19615.2.p1;MSTRG.19615.1.p1
MSTRG.19616	1	COesterase	PF00135.35	4.7e-63	Carboxylesterase family	COesterase	PF00135.35	Carboxylesterase family	MSTRG.19616.1.p1
MSTRG.19617	1	COesterase	PF00135.35	6.3e-19	Carboxylesterase family	COesterase	PF00135.35	Carboxylesterase family	MSTRG.19617.1.p1
MSTRG.19619	9	PK_Tyr_Ser-Thr	PF07714.24	1.5e-34	Protein tyrosine and serine/threonine kinase	PK_Tyr_Ser-Thr;Pkinase;Ank_2;Ank_4;Ank_5;Ank	PF07714.24;PF00069.32;PF12796.14;PF13637.13;PF13857.13;PF00023.37	Protein tyrosine and serine/threonine kinase;Protein kinase domain;Ankyrin repeats (3 copies);Ankyrin repeats (many copies);Ankyrin repeat	MSTRG.19619.1.p1
MSTRG.19626	1	GIY-YIG	PF01541.31	1.5e-06	GIY-YIG catalytic domain	GIY-YIG	PF01541.31	GIY-YIG catalytic domain	MSTRG.19626.1.p1
MSTRG.19629	1	zf-C3HC4_3	PF13920.13	6.9e-12	Zinc finger, C3HC4 type (RING finger)	zf-C3HC4_3	PF13920.13	Zinc finger, C3HC4 type (RING finger)	MSTRG.19629.1.p1
MSTRG.1963	1	DUF4211	PF13926.12	2.3e-14	Domain of unknown function (DUF4211)	DUF4211	PF13926.12	Domain of unknown function (DUF4211)	MSTRG.1963.1.p1
MSTRG.19630	4	CutC	PF03932.21	1.4e-62	CutC family	CutC	PF03932.21	CutC family	MSTRG.19630.1.p1;MSTRG.19630.3.p1;MSTRG.19630.2.p1;MSTRG.19630.4.p1
MSTRG.19631	1	COX15-CtaA	PF02628.21	2.2e-108	Cytochrome oxidase assembly protein	COX15-CtaA	PF02628.21	Cytochrome oxidase assembly protein	MSTRG.19631.1.p1
MSTRG.19634	4	Sec8_C	PF20652.4	1.8e-13	Exocyst complex component Sec8 C-terminal	Sec8_C;Sec8_N	PF20652.4;PF04048.21	Exocyst complex component Sec8 C-terminal;Exocyst complex component Sec8 N-terminal	MSTRG.19634.1.p1;MSTRG.19634.2.p1
MSTRG.19635	2	Ank_2	PF12796.14	2.5e-06	Ankyrin repeats (3 copies)	Ank_2	PF12796.14	Ankyrin repeats (3 copies)	MSTRG.19635.1.p1;MSTRG.19635.2.p1
MSTRG.19636	2	Cactin_mid	PF10312.15	6e-63	Conserved mid region of cactin	Cactin_mid;CactinC_cactus	PF10312.15;PF09732.15	Conserved mid region of cactin;Cactus-binding C-terminus of cactin protein	MSTRG.19636.1.p1
MSTRG.19639	1	LKAAEAR	PF15478.12	1.6e-49	Family of unknown function with LKAAEAR motif	LKAAEAR	PF15478.12	Family of unknown function with LKAAEAR motif	MSTRG.19639.1.p1
MSTRG.1964	1	DUF4211	PF13926.12	3.9e-06	Domain of unknown function (DUF4211)	DUF4211	PF13926.12	Domain of unknown function (DUF4211)	MSTRG.1964.1.p1
MSTRG.19640	1	UCR_14kD	PF02271.22	2e-30	Ubiquinol-cytochrome C reductase complex 14kD subunit	UCR_14kD	PF02271.22	Ubiquinol-cytochrome C reductase complex 14kD subunit	MSTRG.19640.1.p1
MSTRG.19642	1	tRNA_int_endo	PF01974.24	2.4e-14	tRNA intron endonuclease, catalytic C-terminal domain	tRNA_int_endo	PF01974.24	tRNA intron endonuclease, catalytic C-terminal domain	MSTRG.19642.1.p1
MSTRG.19647	1	RMD1-3	PF21033.5	6.6e-71	Regulator of microtubule dynamics protein 1-3	RMD1-3	PF21033.5	Regulator of microtubule dynamics protein 1-3	MSTRG.19647.1.p1
MSTRG.19650	1	Cation_ATPase	PF13246.13	1.8e-11	P-type ATPase, cytoplasmic domain N	Cation_ATPase	PF13246.13	P-type ATPase, cytoplasmic domain N	MSTRG.19650.1.p1
MSTRG.19654	3	7TM_GPCR_Srw	PF10324.16	9.3e-07	Serpentine type 7TM GPCR chemoreceptor Srw	7TM_GPCR_Srw	PF10324.16	Serpentine type 7TM GPCR chemoreceptor Srw	MSTRG.19654.1.p1;MSTRG.19654.2.p1;MSTRG.19654.3.p1
MSTRG.19655	1	7TM_GPCR_Srw	PF10324.16	9.3e-07	Serpentine type 7TM GPCR chemoreceptor Srw	7TM_GPCR_Srw	PF10324.16	Serpentine type 7TM GPCR chemoreceptor Srw	MSTRG.19655.1.p1
MSTRG.19658	6	EF-hand_1	PF00036.39	2.5e-07	EF hand domain	EF-hand_1;EF-hand_7;EF-hand_6;EF-hand_5	PF00036.39;PF13499.13;PF13405.13;PF13202.13	EF hand domain;EF-hand domain pair;EF-hand domain;EF hand	MSTRG.19658.1.p1
MSTRG.19662	2	MFS_1	PF07690.22	1.4e-20	Major Facilitator Superfamily	MFS_1	PF07690.22	Major Facilitator Superfamily	MSTRG.19662.1.p1
MSTRG.19663	1	zf-H2C2_2	PF13465.13	1.3e-06	Zinc-finger double domain	zf-H2C2_2	PF13465.13	Zinc-finger double domain	MSTRG.19663.1.p1
MSTRG.19664	3	CRLF3_C	PF27985.1	5e-43	CRLF3 C-terminal domain	CRLF3_C;zf-H2C2_2;CRLF3_N	PF27985.1;PF13465.13;PF27984.1	CRLF3 C-terminal domain;Zinc-finger double domain;CRLF3 N-terminal coiled-coil domain	MSTRG.19664.1.p2;MSTRG.19664.1.p1
MSTRG.19665	1	CRLF3_N	PF27984.1	3e-26	CRLF3 N-terminal coiled-coil domain	CRLF3_N	PF27984.1	CRLF3 N-terminal coiled-coil domain	MSTRG.19665.1.p1
MSTRG.19666	2	Neur_chan_memb	PF02932.22	3.4e-61	Neurotransmitter-gated ion-channel transmembrane region	Neur_chan_memb;Neur_chan_LBD	PF02932.22;PF02931.29	Neurotransmitter-gated ion-channel transmembrane region;Neurotransmitter-gated ion-channel ligand binding domain	MSTRG.19666.1.p1
MSTRG.1967	15	NAD_binding_8	PF13450.13	1.7e-14	NAD(P)-binding Rossmann-like domain	NAD_binding_8;Pyr_redox_2;DAO	PF13450.13;PF07992.21;PF01266.31	NAD(P)-binding Rossmann-like domain;Pyridine nucleotide-disulphide oxidoreductase;FAD dependent oxidoreductase	MSTRG.1967.3.p1;MSTRG.1967.4.p1;MSTRG.1967.1.p1;MSTRG.1967.2.p1;MSTRG.1967.6.p1
MSTRG.19677	1	DUF4517	PF15006.12	1.7e-44	Domain of unknown function (DUF4517)	DUF4517	PF15006.12	Domain of unknown function (DUF4517)	MSTRG.19677.1.p1
MSTRG.19679	1	RVT_1	PF00078.33	3.4e-08	Reverse transcriptase (RNA-dependent DNA polymerase)	RVT_1	PF00078.33	Reverse transcriptase (RNA-dependent DNA polymerase)	MSTRG.19679.1.p1
MSTRG.1968	3	Nckap1	PF09735.15	1e-124	Nck-associated protein 1	Nckap1	PF09735.15	Nck-associated protein 1	MSTRG.1968.1.p1;MSTRG.1968.2.p1;MSTRG.1968.3.p1
MSTRG.19681	4	CH	PF00307.37	1.2e-22	Calponin homology (CH) domain	CH;Smoothelin	PF00307.37;PF12510.14	Calponin homology (CH) domain;Smoothelin cytoskeleton protein	MSTRG.19681.1.p1;MSTRG.19681.2.p1
MSTRG.19683	2	LTN1_E3_ligase_6th	PF22999.3	2.6e-43	LTN1 family HEAT repeat region	LTN1_E3_ligase_6th;UBC_like	PF22999.3;PF23009.2	LTN1 family HEAT repeat region;Ubiquitin conjugating domain-like	MSTRG.19683.1.p1
MSTRG.19684	56	ADH_zinc_N	PF00107.33	8.7e-24	Zinc-binding dehydrogenase	ADH_zinc_N;ADH_zinc_N_2;ADH_N;DDE_1	PF00107.33;PF13602.13;PF08240.18;PF03184.26	Zinc-binding dehydrogenase;Alcohol dehydrogenase GroES-like domain;DDE superfamily endonuclease	MSTRG.19684.1.p3;MSTRG.19684.4.p1;MSTRG.19684.5.p2;MSTRG.19684.9.p2;MSTRG.19684.10.p2;MSTRG.19684.11.p2;MSTRG.19684.15.p1;MSTRG.19684.17.p2;MSTRG.19684.2.p2;MSTRG.19684.3.p2;MSTRG.19684.6.p1;MSTRG.19684.7.p2;MSTRG.19684.8.p1;MSTRG.19684.12.p2;MSTRG.19684.13.p2;MSTRG.19684.16.p1;MSTRG.19684.1.p5;MSTRG.19684.1.p1;MSTRG.19684.18.p1;MSTRG.19684.19.p1;MSTRG.19684.1.p2;MSTRG.19684.2.p1;MSTRG.19684.3.p1;MSTRG.19684.5.p1;MSTRG.19684.7.p1;MSTRG.19684.9.p1;MSTRG.19684.10.p1;MSTRG.19684.11.p1;MSTRG.19684.12.p1;MSTRG.19684.13.p1;MSTRG.19684.17.p1;MSTRG.19684.18.p2
MSTRG.19686	2	DDE_1	PF03184.26	7.2e-06	DDE superfamily endonuclease	DDE_1	PF03184.26	DDE superfamily endonuclease	MSTRG.19686.2.p1;MSTRG.19686.1.p1
MSTRG.19687	4	DDE_1	PF03184.26	7.2e-07	DDE superfamily endonuclease	DDE_1;HTH_psq	PF03184.26;PF05225.23	DDE superfamily endonuclease;helix-turn-helix, Psq domain	MSTRG.19687.1.p1;MSTRG.19687.2.p1
MSTRG.19688	2	Ltn1_1st	PF22958.3	6.9e-81	E3 ubiquitin-protein ligase listerin, N-terminal domain	Ltn1_1st	PF22958.3	E3 ubiquitin-protein ligase listerin, N-terminal domain	MSTRG.19688.1.p1;MSTRG.19688.2.p1
MSTRG.1969	1	Nckap1	PF09735.15	8e-247	Nck-associated protein 1	Nckap1	PF09735.15	Nck-associated protein 1	MSTRG.1969.1.p1
MSTRG.19694	2	GCP_C_terminal	PF04130.19	7e-90	Gamma tubulin complex component C-terminal	GCP_C_terminal;GCP_N_terminal	PF04130.19;PF17681.7	Gamma tubulin complex component C-terminal;Gamma tubulin complex component N-terminal	MSTRG.19694.1.p1
MSTRG.197	4	MEA1	PF06910.17	6.5e-14	Male enhanced antigen 1 (MEA1)	MEA1	PF06910.17	Male enhanced antigen 1 (MEA1)	MSTRG.197.1.p1;MSTRG.197.2.p1;MSTRG.197.3.p1;MSTRG.197.4.p1
MSTRG.1970	1	Nckap1	PF09735.15	1.4e-82	Nck-associated protein 1	Nckap1	PF09735.15	Nck-associated protein 1	MSTRG.1970.1.p1
MSTRG.19701	2	TB2_DP1_HVA22	PF03134.25	2.7e-31	TB2/DP1, HVA22 family	TB2_DP1_HVA22	PF03134.25	TB2/DP1, HVA22 family	MSTRG.19701.1.p1;MSTRG.19701.2.p1
MSTRG.19704	8	zf-C3HC4	PF00097.32	3.3e-07	Zinc finger, C3HC4 type (RING finger)	zf-C3HC4;zf-C3HC4_3;zf-C3HC4_2;zf-RING_2	PF00097.32;PF13920.13;PF13923.13;PF13639.13	Zinc finger, C3HC4 type (RING finger);Ring finger domain	MSTRG.19704.1.p1;MSTRG.19704.2.p1
MSTRG.19705	2	MFS_1	PF07690.22	3e-16	Major Facilitator Superfamily	MFS_1	PF07690.22	Major Facilitator Superfamily	MSTRG.19705.1.p1
MSTRG.19707	1	DUF4772	PF15997.12	1.4e-25	Domain of unknown function (DUF4772)	DUF4772	PF15997.12	Domain of unknown function (DUF4772)	MSTRG.19707.1.p1
MSTRG.19711	8	Glyco_hydro_18	PF00704.35	2.9e-18	Glycosyl hydrolases family 18	Glyco_hydro_18	PF00704.35	Glycosyl hydrolases family 18	MSTRG.19711.8.p1;MSTRG.19711.1.p1;MSTRG.19711.3.p1;MSTRG.19711.5.p1;MSTRG.19711.6.p1;MSTRG.19711.7.p1;MSTRG.19711.4.p1;MSTRG.19711.2.p1
MSTRG.19719	12	Ran_BP1	PF00638.25	5.8e-44	RanBP1 domain	Ran_BP1;Zn_ribbon_RanBP	PF00638.25;PF00641.24	RanBP1 domain;Zn-finger in Ran binding protein and others	MSTRG.19719.3.p1;MSTRG.19719.1.p1;MSTRG.19719.2.p1
MSTRG.1972	1	CD225	PF04505.18	7.2e-13	Interferon-induced transmembrane protein	CD225	PF04505.18	Interferon-induced transmembrane protein	MSTRG.1972.1.p1
MSTRG.19725	3	PTS_2-RNA	PF01885.23	6.4e-35	RNA 2'-phosphotransferase, Tpt1 / KptA family	PTS_2-RNA	PF01885.23	RNA 2'-phosphotransferase, Tpt1 / KptA family	MSTRG.19725.1.p1;MSTRG.19725.2.p1;MSTRG.19725.1.p2
MSTRG.19726	3	DUF4787	PF16029.11	1.8e-20	Domain of unknown function (DUF4787)	DUF4787	PF16029.11	Domain of unknown function (DUF4787)	MSTRG.19726.1.p1;MSTRG.19726.2.p1;MSTRG.19726.3.p1
MSTRG.19727	2	DDR1-2_DS-like	PF21114.4	4.7e-63	Discoidin domain-containing receptor 1/2, DS-like domain	DDR1-2_DS-like	PF21114.4	Discoidin domain-containing receptor 1/2, DS-like domain	MSTRG.19727.1.p1;MSTRG.19727.2.p1
MSTRG.19728	2	PK_Tyr_Ser-Thr	PF07714.24	6.3e-55	Protein tyrosine and serine/threonine kinase	PK_Tyr_Ser-Thr;Pkinase	PF07714.24;PF00069.32	Protein tyrosine and serine/threonine kinase;Protein kinase domain	MSTRG.19728.1.p1
MSTRG.19729	2	PK_Tyr_Ser-Thr	PF07714.24	2e-21	Protein tyrosine and serine/threonine kinase	PK_Tyr_Ser-Thr;Pkinase	PF07714.24;PF00069.32	Protein tyrosine and serine/threonine kinase;Protein kinase domain	MSTRG.19729.1.p1
MSTRG.1973	1	Nckap1	PF09735.15	0	Nck-associated protein 1	Nckap1	PF09735.15	Nck-associated protein 1	MSTRG.1973.1.p1
MSTRG.19730	16	Ssl1	PF04056.21	1.7e-87	Ssl1-like	Ssl1;C1_4;VWA_2	PF04056.21;PF07975.19;PF13519.13	Ssl1-like;TFIIH C1-like domain;von Willebrand factor type A domain	MSTRG.19730.2.p1;MSTRG.19730.1.p1;MSTRG.19730.3.p1;MSTRG.19730.4.p1;MSTRG.19730.6.p1;MSTRG.19730.5.p1
MSTRG.19731	2	BRO1	PF03097.25	5.7e-38	BRO1-like domain	BRO1	PF03097.25	BRO1-like domain	MSTRG.19731.1.p1;MSTRG.19731.2.p1
MSTRG.19738	1	LicD	PF04991.20	4.8e-08	LicD family	LicD	PF04991.20	LicD family	MSTRG.19738.1.p1
MSTRG.19746	1	dsrm	PF00035.33	1e-11	Double-stranded RNA binding motif	dsrm	PF00035.33	Double-stranded RNA binding motif	MSTRG.19746.1.p1
MSTRG.19750	4	Pro_isomerase	PF00160.27	2e-53	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD	Pro_isomerase;Rtf2	PF00160.27;PF04641.19	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD;Rtf2 RING-finger	MSTRG.19750.1.p1;MSTRG.19750.2.p1;MSTRG.19750.1.p2
MSTRG.19751	1	ZSWIM3_N	PF21599.4	1.7e-15	Zinc finger SWIM domain-containing protein 3, N-terminal	ZSWIM3_N	PF21599.4	Zinc finger SWIM domain-containing protein 3, N-terminal	MSTRG.19751.1.p1
MSTRG.19752	3	ZSWIM3_N	PF21599.4	4.4e-12	Zinc finger SWIM domain-containing protein 3, N-terminal	ZSWIM3_N	PF21599.4	Zinc finger SWIM domain-containing protein 3, N-terminal	MSTRG.19752.1.p1;MSTRG.19752.2.p1;MSTRG.19752.3.p1
MSTRG.19753	6	zf-RING_UBOX	PF13445.13	5.6e-10	RING-type zinc-finger	zf-RING_UBOX;zf-C3HC4;zf-RING_2;zf-C3HC4_3;zf-C3HC4_2;zf-RING_5	PF13445.13;PF00097.32;PF13639.13;PF13920.13;PF13923.13;PF14634.13	RING-type zinc-finger;Zinc finger, C3HC4 type (RING finger);Ring finger domain;zinc-RING finger domain	MSTRG.19753.1.p1
MSTRG.19754	3	Oxidored_molyb	PF00174.26	3.1e-52	Oxidoreductase molybdopterin binding domain	Oxidored_molyb;Mo-co_dimer;Cyt-b5	PF00174.26;PF03404.23;PF00173.34	Oxidoreductase molybdopterin binding domain;Mo-co oxidoreductase dimerisation domain;Cytochrome b5-like Heme/Steroid binding domain	MSTRG.19754.1.p1
MSTRG.19756	4	CUB	PF00431.27	6.8e-21	CUB domain	CUB	PF00431.27	CUB domain	MSTRG.19756.1.p1;MSTRG.19756.2.p1
MSTRG.19760	1	EGF_PEAR1L	PF23301.2	5.4e-06	Platelet endothelial aggregation receptor 1-like, EGF domain	EGF_PEAR1L	PF23301.2	Platelet endothelial aggregation receptor 1-like, EGF domain	MSTRG.19760.1.p1
MSTRG.19764	1	TNFR_c6	PF00020.25	5.3e-06	TNFR/NGFR cysteine-rich region	TNFR_c6	PF00020.25	TNFR/NGFR cysteine-rich region	MSTRG.19764.1.p1
MSTRG.19766	1	VWC2L_2nd	PF23334.2	5.1e-06	VWC2L-like domain	VWC2L_2nd	PF23334.2	VWC2L-like domain	MSTRG.19766.2.p1
MSTRG.19769	3	Pex16	PF08610.16	2.1e-44	Peroxisomal membrane protein (Pex16)	Pex16	PF08610.16	Peroxisomal membrane protein (Pex16)	MSTRG.19769.1.p1;MSTRG.19769.2.p1;MSTRG.19769.4.p1
MSTRG.19772	1	EXPB1_D1	PF22514.3	1.1e-26	EXPB1-like domain 1	EXPB1_D1	PF22514.3	EXPB1-like domain 1	MSTRG.19772.1.p1
MSTRG.19774	1	UMP1	PF05348.17	4.3e-33	Proteasome maturation factor UMP1	UMP1	PF05348.17	Proteasome maturation factor UMP1	MSTRG.19774.1.p1
MSTRG.19778	1	Usp	PF00582.33	1.2e-20	Universal stress protein family	Usp	PF00582.33	Universal stress protein family	MSTRG.19778.1.p1
MSTRG.19782	4	UQ_con	PF00179.32	8.5e-18	Ubiquitin-conjugating enzyme	UQ_con;DUF8349	PF00179.32;PF27509.1	Ubiquitin-conjugating enzyme;Domain of unknown function (DUF8349)	MSTRG.19782.1.p1;MSTRG.19782.3.p1;MSTRG.19782.4.p1;MSTRG.19782.2.p3
MSTRG.19783	3	Innexin	PF00876.24	1.4e-73	Innexin	Innexin	PF00876.24	Innexin	MSTRG.19783.1.p1;MSTRG.19783.2.p1;MSTRG.19783.2.p2
MSTRG.19784	1	SBSPON_C	PF25031.1	8.4e-16	SBSPON-like, C-terminal	SBSPON_C	PF25031.1	SBSPON-like, C-terminal	MSTRG.19784.1.p1
MSTRG.19786	1	Serpin	PF00079.26	7e-69	Serpin (serine protease inhibitor)	Serpin	PF00079.26	Serpin (serine protease inhibitor)	MSTRG.19786.1.p1
MSTRG.19795	2	Ion_trans	PF00520.38	1.2e-17	Ion transport protein	Ion_trans;YVC1_C	PF00520.38;PF23317.2	Ion transport protein;Calcium channel YVC1-like, C-terminal	MSTRG.19795.1.p1
MSTRG.19796	1	TRP_2	PF08344.17	1e-26	Transient receptor ion channel II	TRP_2	PF08344.17	Transient receptor ion channel II	MSTRG.19796.1.p1
MSTRG.19798	3	Death	PF00531.29	2.4e-12	Death domain	Death	PF00531.29	Death domain	MSTRG.19798.1.p1;MSTRG.19798.2.p1;MSTRG.19798.3.p1
MSTRG.19799	2	Kdo	PF06293.21	6.7e-10	Lipopolysaccharide kinase (Kdo/WaaP) family	Kdo;Pkinase	PF06293.21;PF00069.32	Lipopolysaccharide kinase (Kdo/WaaP) family;Protein kinase domain	MSTRG.19799.1.p1
MSTRG.198	3	B56	PF01603.27	4.4e-166	Protein phosphatase 2A regulatory B subunit (B56 family)	B56	PF01603.27	Protein phosphatase 2A regulatory B subunit (B56 family)	MSTRG.198.1.p1;MSTRG.198.2.p1;MSTRG.198.3.p1
MSTRG.1980	1	Fringe	PF02434.23	5.7e-09	Fringe-like	Fringe	PF02434.23	Fringe-like	MSTRG.1980.1.p1
MSTRG.19800	2	EMC6	PF07019.18	8.7e-22	EMC6	EMC6	PF07019.18	EMC6	MSTRG.19800.2.p1;MSTRG.19800.1.p1
MSTRG.19801	1	DUF4618	PF15397.12	5.5e-59	Domain of unknown function (DUF4618)	DUF4618	PF15397.12	Domain of unknown function (DUF4618)	MSTRG.19801.1.p1
MSTRG.19802	1	MTBP_C	PF14920.12	7.8e-16	MDM2-binding	MTBP_C	PF14920.12	MDM2-binding	MSTRG.19802.1.p1
MSTRG.19804	2	AIG1	PF04548.23	2.4e-33	AIG1 family	AIG1	PF04548.23	AIG1 family	MSTRG.19804.1.p1
MSTRG.19805	1	GLTP	PF08718.17	6.5e-47	Glycolipid transfer protein (GLTP)	GLTP	PF08718.17	Glycolipid transfer protein (GLTP)	MSTRG.19805.1.p1
MSTRG.19807	5	Spermine_synth	PF01564.24	7.4e-76	Spermine/spermidine synthase domain	Spermine_synth;Spermine_synt_N	PF01564.24;PF17284.8	Spermine/spermidine synthase domain;Spermidine synthase tetramerisation domain	MSTRG.19807.1.p1;MSTRG.19807.2.p1;MSTRG.19807.3.p1
MSTRG.1981	1	Fringe	PF02434.23	4.1e-14	Fringe-like	Fringe	PF02434.23	Fringe-like	MSTRG.1981.1.p1
MSTRG.19813	2	Nicastrin	PF05450.21	1.8e-46	Nicastrin large lobe	Nicastrin;Ncstrn_small	PF05450.21;PF18266.9	Nicastrin large lobe;Nicastrin small lobe	MSTRG.19813.1.p1
MSTRG.1982	7	Fringe	PF02434.23	1.2e-38	Fringe-like	Fringe	PF02434.23	Fringe-like	MSTRG.1982.1.p1;MSTRG.1982.2.p1;MSTRG.1982.3.p1;MSTRG.1982.4.p1;MSTRG.1982.5.p1;MSTRG.1982.6.p1;MSTRG.1982.7.p1
MSTRG.19824	3	PK_Tyr_Ser-Thr	PF07714.24	1.1e-38	Protein tyrosine and serine/threonine kinase	PK_Tyr_Ser-Thr;Pkinase;ANF_receptor	PF07714.24;PF00069.32;PF01094.35	Protein tyrosine and serine/threonine kinase;Protein kinase domain;Receptor family ligand binding region	MSTRG.19824.1.p1
MSTRG.19827	1	ANF_receptor	PF01094.35	4.1e-06	Receptor family ligand binding region	ANF_receptor	PF01094.35	Receptor family ligand binding region	MSTRG.19827.1.p1
MSTRG.19828	6	PPP1R21_helical	PF10212.15	9.3e-87	Protein phosphatase 1 regulatory subunit 21, six-helix bundle	PPP1R21_helical;PPP1R21_C;KLRAQ	PF10212.15;PF21636.3;PF10205.15	Protein phosphatase 1 regulatory subunit 21, six-helix bundle;Protein phosphatase 1 regulatory subunit 21, C-terminal;Predicted coiled-coil domain-containing protein	MSTRG.19828.1.p1;MSTRG.19828.2.p1
MSTRG.19829	6	Rpp20	PF12328.14	1.6e-18	Rpp20 subunit of nuclear RNase MRP and P	Rpp20;Alba	PF12328.14;PF01918.28	Rpp20 subunit of nuclear RNase MRP and P;Alba	MSTRG.19829.2.p1;MSTRG.19829.3.p1;MSTRG.19829.4.p1
MSTRG.1983	1	Lectin_C	PF00059.28	5.1e-16	Lectin C-type domain	Lectin_C	PF00059.28	Lectin C-type domain	MSTRG.1983.1.p1
MSTRG.19830	2	Rpp20	PF12328.14	9.6e-19	Rpp20 subunit of nuclear RNase MRP and P	Rpp20;Alba	PF12328.14;PF01918.28	Rpp20 subunit of nuclear RNase MRP and P;Alba	MSTRG.19830.1.p1
MSTRG.19835	1	ZNF318_helical	PF27978.1	1.6e-14	Zinc finger protein 318 helical domain	ZNF318_helical	PF27978.1	Zinc finger protein 318 helical domain	MSTRG.19835.1.p1
MSTRG.19836	2	Prp18	PF02840.21	1.9e-60	Prp18 domain	Prp18;PRP4	PF02840.21;PF08799.18	Prp18 domain;pre-mRNA processing factor 4 (PRP4) like	MSTRG.19836.1.p1
MSTRG.19837	1	Arrestin_C	PF02752.28	2.4e-09	Arrestin (or S-antigen), C-terminal domain	Arrestin_C	PF02752.28	Arrestin (or S-antigen), C-terminal domain	MSTRG.19837.1.p1
MSTRG.19838	1	Arrestin_N	PF00339.35	1.3e-22	Arrestin (or S-antigen), N-terminal domain	Arrestin_N	PF00339.35	Arrestin (or S-antigen), N-terminal domain	MSTRG.19838.1.p1
MSTRG.1984	6	Lectin_C	PF00059.28	1.4e-20	Lectin C-type domain	Lectin_C	PF00059.28	Lectin C-type domain	MSTRG.1984.1.p1
MSTRG.19841	1	DNA_ligase_IV	PF11411.14	1.9e-10	DNA ligase IV	DNA_ligase_IV	PF11411.14	DNA ligase IV	MSTRG.19841.1.p1
MSTRG.19843	2	DNA_pol_E_B	PF04042.22	2.8e-40	DNA polymerase alpha/epsilon subunit B	DNA_pol_E_B;OB_DPOA2	PF04042.22;PF22062.3	DNA polymerase alpha/epsilon subunit B;DNA polymerase alpha subunit B, OB domain	MSTRG.19843.1.p1
MSTRG.19846	12	SRP54	PF00448.29	2.5e-78	SRP54-type protein, GTPase domain	SRP54;SRP_SPB;SRP54_N;CbiA	PF00448.29;PF02978.27;PF02881.25;PF01656.30	SRP54-type protein, GTPase domain;Signal peptide binding domain;SRP54-type protein, helical bundle domain;CobQ/CobB/MinD/ParA nucleotide binding domain	MSTRG.19846.3.p1;MSTRG.19846.2.p1;MSTRG.19846.1.p1
MSTRG.19848	2	CCDC47	PF07946.20	2.7e-32	PAT complex subunit CCDC47	CCDC47	PF07946.20	PAT complex subunit CCDC47	MSTRG.19848.1.p1;MSTRG.19848.2.p1
MSTRG.19849	2	SURF6	PF04935.18	7.6e-35	Surfeit locus protein 6	SURF6	PF04935.18	Surfeit locus protein 6	MSTRG.19849.1.p1;MSTRG.19849.2.p1
MSTRG.1985	1	Lectin_C	PF00059.28	6e-10	Lectin C-type domain	Lectin_C	PF00059.28	Lectin C-type domain	MSTRG.1985.1.p1
MSTRG.19855	2	DENND11	PF09804.15	5.8e-48	DENN domain-containing protein 11	DENND11	PF09804.15	DENN domain-containing protein 11	MSTRG.19855.1.p1;MSTRG.19855.1.p2
MSTRG.19856	12	Beta-prop_RSE1_1st	PF10433.16	9.4e-120	RSE1/DDB1/CPSF1 first beta-propeller	Beta-prop_RSE1_1st;Beta-prop_RSE1_2nd	PF10433.16;PF23726.2	RSE1/DDB1/CPSF1 first beta-propeller;RSE1/DDB1/CPSF1 second beta-propeller	MSTRG.19856.3.p1;MSTRG.19856.4.p1;MSTRG.19856.5.p1;MSTRG.19856.1.p1;MSTRG.19856.2.p1;MSTRG.19856.6.p1;MSTRG.19856.3.p2;MSTRG.19856.4.p2;MSTRG.19856.5.p2
MSTRG.19859	2	IMPDH	PF00478.32	2.2e-75	IMP dehydrogenase / GMP reductase domain	IMPDH	PF00478.32	IMP dehydrogenase / GMP reductase domain	MSTRG.19859.1.p1;MSTRG.19859.2.p1
MSTRG.19861	1	MBOAT	PF03062.25	1.8e-55	MBOAT, membrane-bound O-acyltransferase family	MBOAT	PF03062.25	MBOAT, membrane-bound O-acyltransferase family	MSTRG.19861.1.p1
MSTRG.19872	8	PK_Tyr_Ser-Thr	PF07714.24	4.9e-35	Protein tyrosine and serine/threonine kinase	PK_Tyr_Ser-Thr;Pkinase	PF07714.24;PF00069.32	Protein tyrosine and serine/threonine kinase;Protein kinase domain	MSTRG.19872.1.p1;MSTRG.19872.2.p1
MSTRG.19873	5	Methyltransf_12	PF08242.19	8.8e-16	Methyltransferase domain	Methyltransf_12;Methyltransf_25;Methyltransf_23;Methyltransf_11;Methyltransf_31	PF08242.19;PF13649.13;PF13489.13;PF08241.19;PF13847.13	Methyltransferase domain	MSTRG.19873.1.p1
